iso3,sea_level_exposure_pop_below_5m_pct,flood_deaths_latest,drought_deaths_latest,wildfire_deaths_latest,heat_deaths_latest,cereal_yield_anomaly_pct_latest,water_stress_pct_latest,freshwater_resources_per_capita_m3_latest,pm25_ug_m3_latest,air_pollution_death_rate_per_100k_latest,nd_gain_readiness_latest,coal_share_latest_pct
ABW,4.99749731654337,,,,,,,,,,,0.0
AFE,0.66296581745632,,,,,26.529884203192427,,2713.29354839453,26.7556863585895,158.428355555057,,
AFG,0.0,39.0,0.0,0.0,1197.0,28.24323418329722,54.75701944,1161.93557223737,46.0870936659706,265.7,0.251374062035753,3.0927835
AFW,3.12234866932004,,,,,19.43373938149282,,3816.82535524941,54.8918200968729,182.838948313298,,
AGO,1.53305214067655,84.0,0.0,,,54.633695232685994,1.871883289,4153.21676881475,25.1452381976267,142.8,0.272532181731671,0.0
AIA,,,0.0,,,,,,,,,
ALB,9.15110167982407,0.0,0.0,0.0,363.0,23.298354400190785,4.789663462,10972.2650507661,15.7070036417042,92.5,0.42269803324319,0.0
AND,0.0,,,,,,,3959.60102879368,9.08028059086901,,0.452459320881706,
ARB,6.63346365297432,,,,,5.549747755054895,,240.111452064731,39.7132146879838,103.775508952357,,
ARE,26.7198219315291,4.0,,,,2.8288806800696626,1509.933333,14.8883714573244,36.3055030826594,70.0,0.587110079387922,0.0
ARG,1.02928663774484,125.0,4.0,1.0,42.0,-10.665299545920606,10.45666408,6430.59851430271,14.9081737974407,29.7,0.375078343403138,0.85896003
ARM,0.0,4.0,0.0,,0.0,2.820712566807202,61.97296752,2310.04984507611,30.5796334750125,74.5,0.500820065638309,0.0
ASM,4.62737256653892,6.0,,,,,,,6.71514739512663,,,0.0
ATG,12.1917757079868,,0.0,,,22.685433263077673,8.461538462,560.103403705299,19.6982695582914,19.3,0.448599090725985,0.0
AUS,3.6013357263928,1.0,0.0,0.0,0.0,70.85017887786859,4.672295939,18909.4613835938,8.25171746070811,9.8,0.693309072991234,45.210197
AUT,0.0,1.0,,,1055.0,13.579984407116024,8.676429953,6082.82529760776,10.9335136815146,17.5,0.676197628384371,0.0
AZE,0.0,3.0,0.0,,5.0,26.04548295231287,57.52704791,800.157290315405,21.7269999756599,125.2,0.443726742855352,0.0
BDI,0.0,29.0,0.0,,,9.064567078746414,10.19286754,755.193059550576,29.6541345084659,205.9,0.272391783523305,0.0
BEL,5.48301366791854,0.0,0.0,,249.0,-3.1494656539953363,52.82574225,1027.3787885663,11.2160664677018,15.3,0.586680831331403,0.0
BEN,7.25427232711727,0.0,0.0,1.0,,-12.28015539967145,0.975243811,748.573658303452,51.0478241974862,201.8,0.341775313800639,0.0
