country,coal_units_shut_down_2000_2025
Australia,56
Austria,10
Belgium,19
Brazil,9
Bulgaria,10
Canada,51
Chile,14
China,1197
Czech Republic,22
Denmark,18
Finland,20
France,27
Germany,155
Greece,18
Guadeloupe,3
Guatemala,1
Honduras,2
Hong Kong,8
Hungary,14
India,167
Indonesia,1
Ireland,3
Israel,1
Italy,27
Japan,26
Kazakhstan,7
Kosovo,2
Kyrgyzstan,3
Morocco,3
Netherlands,7
New Zealand,1
Panama,3
Peru,1
Philippines,4
Poland,76
Portugal,7
Romania,37
Russia,103
Slovakia,13
Slovenia,5
South Africa,15
South Korea,13
Spain,46
Sweden,3
Taiwan,22
Thailand,8
Ukraine,21
United Arab Emirates,2
United Kingdom,92
United States,787
Uzbekistan,6
Vietnam,2
