iso3,year,extreme_weather_events
USA,2024,29
CHN,2024,18
PHL,2024,15
IND,2024,15
IDN,2024,14
BRA,2024,11
VNM,2024,10
AFG,2024,8
MEX,2024,8
CAN,2024,7
THA,2024,7
PAK,2024,6
ZAF,2024,6
BGD,2024,6
ESP,2024,5
FRA,2024,5
NPL,2024,5
BOL,2024,5
COL,2024,5
GTM,2024,5
HTI,2024,5
JPN,2024,5
COD,2024,5
LAO,2024,4
LKA,2024,4
KEN,2024,4
CUB,2024,4
TZA,2024,4
IRN,2024,4
MWI,2024,4
PER,2024,4
YEM,2024,4
UGA,2024,4
CHL,2024,4
CRI,2024,3
ARG,2024,3
AUS,2024,3
KGZ,2024,3
GRC,2024,3
KOR,2024,3
ITA,2024,3
ETH,2024,3
MDG,2024,3
TWN,2024,3
MMR,2024,3
NGA,2024,3
ROU,2024,2
NIC,2024,2
NLD,2024,2
SLV,2024,2
MAR,2024,2
SVK,2024,2
PRT,2024,2
OMN,2024,2
MHL,2024,2
MOZ,2024,2
JAM,2024,2
HND,2024,2
PNG,2024,2
CHE,2024,2
CMR,2024,2
CYP,2024,2
BLZ,2024,2
CZE,2024,2
IRL,2024,2
DEU,2024,2
DOM,2024,2
DZA,2024,2
ECU,2024,2
TUR,2024,2
BIH,2024,2
BDI,2024,2
AUT,2024,2
GBR,2024,2
GRD,2024,2
POL,2024,2
TCD,2024,2
ARE,2024,2
SYR,2024,2
URY,2024,2
VEN,2024,1
REU,2024,1
PRK,2024,1
ZMB,2024,1
VCT,2024,1
SWE,2024,1
RUS,2024,1
RWA,2024,1
SAU,2024,1
SDN,2024,1
SLE,2024,1
SOM,2024,1
TJK,2024,1
SPI,2024,1
SRB,2024,1
SSD,2024,1
TGO,2024,1
SVN,2024,1
SEN,2024,1
LBR,2024,1
PAN,2024,1
NZL,2024,1
GIN,2024,1
GAB,2024,1
FIN,2024,1
EST,2024,1
DNK,2024,1
COM,2024,1
CIV,2024,1
CAF,2024,1
BWA,2024,1
BRB,2024,1
BGR,2024,1
BFA,2024,1
BEN,2024,1
BEL,2024,1
ARM,2024,1
HRV,2024,1
HUN,2024,1
IRQ,2024,1
MLI,2024,1
NOR,2024,1
NER,2024,1
NAM,2024,1
MYT,2024,1
MUS,2024,1
MNE,2024,1
LVA,2024,1
KAZ,2024,1
LUX,2024,1
LTU,2024,1
LBY,2024,1
AGO,2024,1
LBN,2024,1
KHM,2024,1
ZWE,2024,1
