iso3,heatwave_days_annual_mean_past7y
SSD,78.075
BEN,64.875
TGO,63.476
CIV,62.176
BLZ,61.072
GHA,54.583
BRN,50.054
SGP,45.679
SDN,42.593
COD,41.633
DJI,41.327
VEN,38.936
CAF,38.571
LBR,38.307
NGA,37.328
SLE,36.95
SEN,36.139
PRY,36.001
JAM,35.493
SOM,35.304
GTM,34.686
KHM,34.067
COL,33.694
SAU,33.07
MLI,32.811
GIN,32.676
BFA,32.582
SLV,31.522
KWT,31.192
ERI,30.367
COG,29.937
YEM,29.874
CUB,29.712
QAT,29.661
GNB,29.643
BHS,29.507
NER,29.166
THA,28.732
TTO,26.589
MRT,25.832
DZA,25.612
TCD,25.207
MYS,24.797
NIC,23.623
GUY,23.438
VNM,21.467
IRQ,21.343
IDN,20.613
BRA,20.371
BOL,20.245
GAB,19.623
HND,18.902
PAN,18.795
CMR,18.686
ARE,18.567
PER,17.843
KEN,17.552
BGD,17.157
LAO,16.996
GMB,16.572
HTI,16.508
EGY,16.186
PHL,15.795
JOR,15.379
ETH,15.111
SYR,14.694
SUR,14.411
CRI,14.168
MAR,14.139
TUN,14.109
ESH,13.662
DOM,13.5
PSE,13.322
OMN,13.071
MMR,12.83
MEX,12.407
MDG,12.368
LBY,12.208
ISR,12.161
BWA,11.946
LKA,11.517
NAM,11.496
AUS,10.549
PNG,10.425
IRN,10.372
CYP,10.343
TWN,10.298
UZB,9.501
TKM,8.639
SLB,8.402
ESP,7.561
TLS,7.536
FJI,7.089
AZE,7.017
ARG,6.987
ECU,6.886
GNQ,6.688
JPN,6.556
AFG,6.393
MOZ,6.133
ITA,5.882
KOR,5.188
URY,4.994
PRT,4.978
AGO,4.924
UGA,4.903
FRA,4.419
PAK,4.368
IND,4.303
ZWE,4.3
ZAF,4.063
KAZ,4.044
GRC,4.004
TZA,3.858
USA,3.44
CHN,3.304
TUR,3.054
SRB,2.944
VUT,2.923
ZMB,2.898
HRV,2.855
WSM,2.572
TJK,2.531
ALB,2.467
LBN,2.339
HUN,2.287
NPL,2.267
PRK,2.034
SWZ,1.979
BGR,1.929
MKD,1.551
ROU,1.456
MDA,1.397
BIH,1.262
MWI,0.992
UKR,0.903
MNE,0.833
GEO,0.802
MUS,0.714
ARM,0.33
MNG,0.255
RUS,0.199
SVN,0.186
NLD,0.181
BEL,0.143
SVK,0.099
BLR,0.086
BTN,0.083
KGZ,0.07
DEU,0.036
CAN,0.03
AUT,0.011
POL,0.008
LTU,0.0
BDI,0.0
XKX,0.0
LSO,0.0
LUX,0.0
LVA,0.0
RWA,0.0
NOR,0.0
NZL,0.0
CHE,0.0
CHL,0.0
ISL,0.0
IRL,0.0
SWE,0.0
COM,0.0
STP,0.0
CZE,0.0
DNK,0.0
EST,0.0
GRL,0.0
GBR,0.0
FIN,0.0
