___February_2026_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.2403
   2   1 -177.00  -89.00        0.2403
   3   1 -175.00  -89.00        0.2403
   4   1 -173.00  -89.00        0.2403
   5   1 -171.00  -89.00        0.2403
   6   1 -169.00  -89.00        0.2403
   7   1 -167.00  -89.00        0.2403
   8   1 -165.00  -89.00        0.2403
   9   1 -163.00  -89.00        0.2403
  10   1 -161.00  -89.00        0.2403
  11   1 -159.00  -89.00        0.2403
  12   1 -157.00  -89.00        0.2403
  13   1 -155.00  -89.00        0.2403
  14   1 -153.00  -89.00        0.2403
  15   1 -151.00  -89.00        0.2403
  16   1 -149.00  -89.00        0.2403
  17   1 -147.00  -89.00        0.2403
  18   1 -145.00  -89.00        0.2403
  19   1 -143.00  -89.00        0.2403
  20   1 -141.00  -89.00        0.2403
  21   1 -139.00  -89.00        0.2403
  22   1 -137.00  -89.00        0.2403
  23   1 -135.00  -89.00        0.2403
  24   1 -133.00  -89.00        0.2403
  25   1 -131.00  -89.00        0.2403
  26   1 -129.00  -89.00        0.2403
  27   1 -127.00  -89.00        0.2403
  28   1 -125.00  -89.00        0.2403
  29   1 -123.00  -89.00        0.2403
  30   1 -121.00  -89.00        0.2403
  31   1 -119.00  -89.00        0.2403
  32   1 -117.00  -89.00        0.2403
  33   1 -115.00  -89.00        0.2403
  34   1 -113.00  -89.00        0.2403
  35   1 -111.00  -89.00        0.2403
  36   1 -109.00  -89.00        0.2403
  37   1 -107.00  -89.00        0.2403
  38   1 -105.00  -89.00        0.2403
  39   1 -103.00  -89.00        0.2403
  40   1 -101.00  -89.00        0.2403
  41   1  -99.00  -89.00        0.2403
  42   1  -97.00  -89.00        0.2403
  43   1  -95.00  -89.00        0.2403
  44   1  -93.00  -89.00        0.2403
  45   1  -91.00  -89.00        0.2403
  46   1  -89.00  -89.00        0.2403
  47   1  -87.00  -89.00        0.2403
  48   1  -85.00  -89.00        0.2403
  49   1  -83.00  -89.00        0.2403
  50   1  -81.00  -89.00        0.2403
  51   1  -79.00  -89.00        0.2403
  52   1  -77.00  -89.00        0.2403
  53   1  -75.00  -89.00        0.2403
  54   1  -73.00  -89.00        0.2403
  55   1  -71.00  -89.00        0.2403
  56   1  -69.00  -89.00        0.2403
  57   1  -67.00  -89.00        0.2403
  58   1  -65.00  -89.00        0.2403
  59   1  -63.00  -89.00        0.2403
  60   1  -61.00  -89.00        0.2403
  61   1  -59.00  -89.00        0.2403
  62   1  -57.00  -89.00        0.2403
  63   1  -55.00  -89.00        0.2403
  64   1  -53.00  -89.00        0.2403
  65   1  -51.00  -89.00        0.2403
  66   1  -49.00  -89.00        0.2403
  67   1  -47.00  -89.00        0.2403
  68   1  -45.00  -89.00        0.2403
  69   1  -43.00  -89.00        0.2403
  70   1  -41.00  -89.00        0.2403
  71   1  -39.00  -89.00        0.2403
  72   1  -37.00  -89.00        0.2403
  73   1  -35.00  -89.00        0.2403
  74   1  -33.00  -89.00        0.2403
  75   1  -31.00  -89.00        0.2403
  76   1  -29.00  -89.00        0.2403
  77   1  -27.00  -89.00        0.2403
  78   1  -25.00  -89.00        0.2403
  79   1  -23.00  -89.00        0.2403
  80   1  -21.00  -89.00        0.2403
  81   1  -19.00  -89.00        0.2403
  82   1  -17.00  -89.00        0.2403
  83   1  -15.00  -89.00        0.2403
  84   1  -13.00  -89.00        0.2403
  85   1  -11.00  -89.00        0.2403
  86   1   -9.00  -89.00        0.2403
  87   1   -7.00  -89.00        0.2403
  88   1   -5.00  -89.00        0.2403
  89   1   -3.00  -89.00        0.2403
  90   1   -1.00  -89.00        0.2403
  91   1    1.00  -89.00        0.2403
  92   1    3.00  -89.00        0.2403
  93   1    5.00  -89.00        0.2403
  94   1    7.00  -89.00        0.2403
  95   1    9.00  -89.00        0.2403
  96   1   11.00  -89.00        0.2403
  97   1   13.00  -89.00        0.2403
  98   1   15.00  -89.00        0.2403
  99   1   17.00  -89.00        0.2403
 100   1   19.00  -89.00        0.2403
 101   1   21.00  -89.00        0.2403
 102   1   23.00  -89.00        0.2403
 103   1   25.00  -89.00        0.2403
 104   1   27.00  -89.00        0.2403
 105   1   29.00  -89.00        0.2403
 106   1   31.00  -89.00        0.2403
 107   1   33.00  -89.00        0.2403
 108   1   35.00  -89.00        0.2403
 109   1   37.00  -89.00        0.2403
 110   1   39.00  -89.00        0.2403
 111   1   41.00  -89.00        0.2403
 112   1   43.00  -89.00        0.2403
 113   1   45.00  -89.00        0.2403
 114   1   47.00  -89.00        0.2403
 115   1   49.00  -89.00        0.2403
 116   1   51.00  -89.00        0.2403
 117   1   53.00  -89.00        0.2403
 118   1   55.00  -89.00        0.2403
 119   1   57.00  -89.00        0.2403
 120   1   59.00  -89.00        0.2403
 121   1   61.00  -89.00        0.2403
