country,source_group,source_type,plant_type,commission_year,lifetime_years,load_factor,net_efficiency,construction_cost_usd_per_kw,contingency_usd_per_kw,om_variable_usd_per_mwh,om_fixed_usd_per_kw_year,fuel,fuel_cost_usd_per_mwh,fuel_cost_unit,emission_factor_tco2_per_mwh_fuel,ccs_efficiency
Austria,Low carbon,Wind,Wind onshore (>= 1 MW) (3.0 MW),2025,25.0,0.273,1.0,1457.77,69.42,23.608,0.0,naturEnergy,0.0,MWh,0.0,0.0
Austria,Low carbon,Solar,Solar PV (residential) (0.020 MW),2025,25.0,0.114,1.0,718.85,34.23,0.0,41.313,naturEnergy,0.0,MWh,0.0,0.0
Austria,Low carbon,Hydro,Run of river (< 5 MW) (2.2 MW),2025,80.0,0.514,1.0,2360.76,112.42,0.0,53.654,naturEnergy,0.0,MWh,0.0,0.0
Denmark,,CHP,Ultra-supercritical (CHP) (700 MW),2025,40.0,0.570776,0.909903,2240.39,106.69,3.42,36.554,Bituminous,10.748,MWh,0.34056,0.0
Denmark,,CHP,"Gas (CCGT, CHP) (500 MW)",2025,30.0,0.570776,0.805125,1023.98,48.76,5.135,34.142,Gas,27.297,MWh,0.20196,0.0
Denmark,,CHP,"Gas (OCGT/int. comb., CHP) (125 MW)",2025,30.0,0.456621,0.817771,684.03,32.57,5.111,22.646,Gas,27.297,MWh,0.20196,0.0
Denmark,Low carbon,Wind,Wind onshore (>= 1 MW) (4.5 MW),2025,25.0,0.396119,1.0,917.52,43.69,1.709,15.947,naturEnergy,0.0,MWh,0.0,0.0
Denmark,Low carbon,Wind,Wind offshore (11.3 MW),2025,25.0,0.517979,1.0,2011.73,95.8,3.415,46.102,naturEnergy,0.0,MWh,0.0,0.0
Denmark,Low carbon,Wind,Wind offshore (11.5 MW),2025,25.0,0.518836,1.0,1720.7,81.94,3.105,41.918,naturEnergy,0.0,MWh,0.0,0.0
Denmark,Low carbon,Solar,Solar PV (utility scale) (8.0 MW),2025,25.0,0.161366,1.0,534.43,25.45,0.0,9.443,naturEnergy,0.0,MWh,0.0,0.0
Denmark,Low carbon,Solar,Solar PV (commercial) (0.10 MW),2025,25.0,0.131017,1.0,847.16,40.34,0.0,12.205,naturEnergy,0.0,MWh,0.0,0.0
Denmark,Low carbon,Solar,Solar PV (residential) (0.006 MW),2025,25.0,0.120984,1.0,1176.22,56.01,0.0,14.315,naturEnergy,0.0,MWh,0.0,0.0
Denmark,,CHP,Biomass (CHP) (177 MW),2025,40.0,0.456621,1.114444,4013.29,191.11,4.485,115.205,Biomass,32.797,MWh,0.0,0.0
Denmark,,CHP,Biomass (CHP) (261 MW),2025,40.0,0.456621,0.965216,2714.87,129.28,1.889,75.544,Biomass,41.182,MWh,0.0,0.0
Denmark,,CHP,Biomass (CHP) (258 MW),2025,40.0,0.570776,1.005169,2950.95,140.52,3.069,81.446,Biomass,32.797,MWh,0.0,0.0
Denmark,,CHP,Biomass (CHP) (358 MW),2025,40.0,0.570776,0.889145,2537.81,120.85,1.298,64.921,Biomass,41.182,MWh,0.0,0.0
Hungary,Low carbon,Solar,Solar PV (residential) (0.004 MW),2025,25.0,0.15,1.0,1900.73,0.0,0.0,4.441,naturEnergy,0.0,MWh,0.0,0.0
Hungary,Low carbon,Solar,Solar PV (commercial) (0.050 MW),2025,25.0,0.135,1.0,1296.76,0.0,0.0,2.377,naturEnergy,0.0,MWh,0.0,0.0
Hungary,Low carbon,Solar,Solar PV (commercial) (0.50 MW),2025,25.0,0.135,1.0,1074.71,0.0,0.0,23.052,naturEnergy,0.0,MWh,0.0,0.0
Hungary,Low carbon,Solar,Solar PV (utility scale) (20.0 MW),2025,25.0,0.135,1.0,963.69,0.0,0.0,12.538,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Hydro reservoir (< 5 MW) (0.32 MW),2025,80.0,0.654635,0.9,3966.18,0.0,0.0,96.602,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (>= 1 MW) (20.0 MW),2025,25.0,0.29863,1.0,1499.09,0.0,0.0,26.0,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.83 MW),2025,25.0,0.295342,1.0,2268.57,0.0,0.0,33.403,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.19 MW),2025,25.0,0.178904,1.0,2852.15,0.0,0.0,43.184,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.059 MW),2025,25.0,0.201507,1.0,4074.91,0.0,0.0,73.18,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.014 MW),2025,25.0,0.172603,1.0,5316.67,0.0,0.0,894.719,naturEnergy,0.0,MWh,0.0,0.0
