State,Year,HomeownersPremiumUSD
Alabama,2007,905
Alabama,2008,845
Alabama,2009,987
Alabama,2010,1050
Alabama,2011,1163
Alabama,2012,1248
Alabama,2013,1323
Alabama,2014,1340
Alabama,2015,1358
Alabama,2016,1386
Alabama,2017,1433
Alabama,2018,1409
Alabama,2019,1463
Alabama,2020,1501
Alabama,2021,1610
Alabama,2022,1748
Alaska,2007,861
Alaska,2008,856
Alaska,2009,892
Alaska,2010,903
Alaska,2011,924
Alaska,2012,942
Alaska,2013,980
Alaska,2014,976
Alaska,2015,982
Alaska,2016,974
Alaska,2017,959
Alaska,2018,984
Alaska,2019,962
Alaska,2020,989
Alaska,2021,1067
Alaska,2022,1129
Arizona,2007,634
Arizona,2008,628
Arizona,2009,642
Arizona,2010,666
Arizona,2011,675
Arizona,2012,691
Arizona,2013,724
Arizona,2014,765
Arizona,2015,810
Arizona,2016,803
Arizona,2017,825
Arizona,2018,843
Arizona,2019,850
Arizona,2020,866
Arizona,2021,917
Arizona,2022,1018
Arkansas,2007,762
Arkansas,2008,788
Arkansas,2009,919
Arkansas,2010,984
Arkansas,2011,1029
Arkansas,2012,1096
Arkansas,2013,1183
Arkansas,2014,1252
Arkansas,2015,1312
Arkansas,2016,1348
Arkansas,2017,1373
Arkansas,2018,1419
Arkansas,2019,1456
Arkansas,2020,1498
Arkansas,2021,1611
Arkansas,2022,1740
California,2007,925
California,2008,911
California,2009,922
California,2010,939
California,2011,967
California,2012,980
California,2013,966
California,2014,974
California,2015,986
California,2016,1000
California,2017,1008
California,2018,1073
California,2019,1177
California,2020,1241
California,2021,1403
California,2022,1492
Colorado,2007,826
Colorado,2008,842
Colorado,2009,893
Colorado,2010,926
Colorado,2011,961
Colorado,2012,1038
Colorado,2013,1160
Colorado,2014,1273
Colorado,2015,1383
Colorado,2016,1446
Colorado,2017,1495
Colorado,2018,1616
Colorado,2019,1618
Colorado,2020,1667
Colorado,2021,1802
Colorado,2022,2079
Connecticut,2007,929
Connecticut,2008,980
Connecticut,2009,1016
Connecticut,2010,1052
Connecticut,2011,1096
Connecticut,2012,1160
Connecticut,2013,1274
Connecticut,2014,1337
Connecticut,2015,1411
Connecticut,2016,1455
Connecticut,2017,1479
Connecticut,2018,1494
Connecticut,2019,1531
Connecticut,2020,1582
Connecticut,2021,1651
Connecticut,2022,1814
Delaware,2007,559
Delaware,2008,535
Delaware,2009,610
Delaware,2010,636
Delaware,2011,664
Delaware,2012,678
Delaware,2013,709
Delaware,2014,736
Delaware,2015,780
Delaware,2016,816
Delaware,2017,833
Delaware,2018,873
Delaware,2019,908
Delaware,2020,907
Delaware,2021,988
Delaware,2022,1103
District of Columbia,2007,1089
District of Columbia,2008,926
District of Columbia,2009,1069
District of Columbia,2010,1065
District of Columbia,2011,1083
District of Columbia,2012,1103
District of Columbia,2013,1150
District of Columbia,2014,1151
District of Columbia,2015,1196
District of Columbia,2016,1225
District of Columbia,2017,1235
District of Columbia,2018,1264
District of Columbia,2019,1275
District of Columbia,2020,1229
District of Columbia,2021,1272
District of Columbia,2022,1384
Florida,2007,1534
Florida,2008,1390
Florida,2009,1460
Florida,2010,1544
Florida,2011,1933
Florida,2012,2084
Florida,2013,2115
Florida,2014,2055
Florida,2015,1993
Florida,2016,1918
Florida,2017,1951
Florida,2018,1960
Florida,2019,1988
Florida,2020,2165
Florida,2021,2437
Florida,2022,2677
Georgia,2007,724
Georgia,2008,749
Georgia,2009,787
Georgia,2010,833
Georgia,2011,906
Georgia,2012,975
Georgia,2013,1044
Georgia,2014,1089
Georgia,2015,1152
Georgia,2016,1200
Georgia,2017,1267
Georgia,2018,1313
Georgia,2019,1362
Georgia,2020,1403
Georgia,2021,1466
Georgia,2022,1655
Hawaii,2007,850
Hawaii,2008,862
Hawaii,2009,879
Hawaii,2010,938
Hawaii,2011,907
Hawaii,2012,957
Hawaii,2013,953
Hawaii,2014,1018
Hawaii,2015,1014
Hawaii,2016,1026
Hawaii,2017,1102
Hawaii,2018,1140
Hawaii,2019,1182
Hawaii,2020,1245
Hawaii,2021,1299
Hawaii,2022,1431
Idaho,2007,422
Idaho,2008,387
Idaho,2009,485
Idaho,2010,500
Idaho,2011,518
Idaho,2012,538
Idaho,2013,561
Idaho,2014,590
Idaho,2015,692
Idaho,2016,703
Idaho,2017,730
Idaho,2018,772
Idaho,2019,799
Idaho,2020,810
Idaho,2021,884
Idaho,2022,1002
Illinois,2007,700
Illinois,2008,628
Illinois,2009,789
Illinois,2010,793
Illinois,2011,822
Illinois,2012,881
Illinois,2013,938
Illinois,2014,987
Illinois,2015,1033
Illinois,2016,1042
Illinois,2017,1056
Illinois,2018,1103
Illinois,2019,1054
Illinois,2020,1144
Illinois,2021,1223
Illinois,2022,1343
Indiana,2007,647
Indiana,2008,658
Indiana,2009,717
Indiana,2010,748
Indiana,2011,779
Indiana,2012,840
Indiana,2013,887
Indiana,2014,944
Indiana,2015,983
Indiana,2016,1003
Indiana,2017,1000
Indiana,2018,1030
Indiana,2019,983
Indiana,2020,1021
Indiana,2021,1058
Indiana,2022,1191
Iowa,2007,610
Iowa,2008,612
Iowa,2009,645
Iowa,2010,679
Iowa,2011,713
Iowa,2012,779
Iowa,2013,832
Iowa,2014,853
Iowa,2015,919
Iowa,2016,945
Iowa,2017,964
Iowa,2018,987
Iowa,2019,913
Iowa,2020,998
Iowa,2021,1043
Iowa,2022,1268
Kansas,2007,904
Kansas,2008,916
Kansas,2009,991
Kansas,2010,1066
Kansas,2011,1103
Kansas,2012,1213
Kansas,2013,1343
Kansas,2014,1431
Kansas,2015,1531
Kansas,2016,1548
Kansas,2017,1584
Kansas,2018,1617
Kansas,2019,1519
Kansas,2020,1478
Kansas,2021,1491
Kansas,2022,1583
Kentucky,2007,578
Kentucky,2008,601
Kentucky,2009,711
Kentucky,2010,776
Kentucky,2011,839
Kentucky,2012,916
Kentucky,2013,981
Kentucky,2014,1023
Kentucky,2015,1062
Kentucky,2016,1085
Kentucky,2017,1109
Kentucky,2018,1152
Kentucky,2019,1172
Kentucky,2020,1174
Kentucky,2021,1232
Kentucky,2022,1359
Louisiana,2007,1400
Louisiana,2008,1155
Louisiana,2009,1430
Louisiana,2010,1546
Louisiana,2011,1672
Louisiana,2012,1742
Louisiana,2013,1822
Louisiana,2014,1847
Louisiana,2015,1945
Louisiana,2016,1967
Louisiana,2017,1968
Louisiana,2018,1987
Louisiana,2019,2037
Louisiana,2020,2038
Louisiana,2021,2259
Louisiana,2022,2603
Maine,2007,596
Maine,2008,572
Maine,2009,651
Maine,2010,676
Maine,2011,714
Maine,2012,741
Maine,2013,776
Maine,2014,811
Maine,2015,843
Maine,2016,866
Maine,2017,882
Maine,2018,905
Maine,2019,936
Maine,2020,956
Maine,2021,996
Maine,2022,1077
Maryland,2007,692
Maryland,2008,637
Maryland,2009,779
Maryland,2010,784
Maryland,2011,800
Maryland,2012,837
Maryland,2013,904
Maryland,2014,942
Maryland,2015,982
Maryland,2016,1022
Maryland,2017,1037
Maryland,2018,1071
Maryland,2019,1125
Maryland,2020,1169
Maryland,2021,1238
Maryland,2022,1392
Massachusetts,2007,1023
Massachusetts,2008,1026
Massachusetts,2009,1035
Massachusetts,2010,1050
Massachusetts,2011,1072
Massachusetts,2012,1150
Massachusetts,2013,1263
Massachusetts,2014,1314
Massachusetts,2015,1379
Massachusetts,2016,1451
Massachusetts,2017,1488
Massachusetts,2018,1543
Massachusetts,2019,1617
Massachusetts,2020,1667
Massachusetts,2021,1712
Massachusetts,2022,1871
Michigan,2007,721
Michigan,2008,715
Michigan,2009,740
Michigan,2010,743
Michigan,2011,774
Michigan,2012,802
Michigan,2013,839
Michigan,2014,865
Michigan,2015,908
Michigan,2016,952
Michigan,2017,942
Michigan,2018,981
Michigan,2019,999
Michigan,2020,1002
Michigan,2021,993
Michigan,2022,1056
Minnesota,2007,800
Minnesota,2008,845
Minnesota,2009,919
Minnesota,2010,981
Minnesota,2011,1056
Minnesota,2012,1140
Minnesota,2013,1222
Minnesota,2014,1219
Minnesota,2015,1323
Minnesota,2016,1340
Minnesota,2017,1348
Minnesota,2018,1400
Minnesota,2019,1433
Minnesota,2020,1481
Minnesota,2021,1607
Minnesota,2022,1774
Mississippi,2007,1019
Mississippi,2008,980
Mississippi,2009,1185
Mississippi,2010,1217
Mississippi,2011,1409
Mississippi,2012,1314
Mississippi,2013,1395
Mississippi,2014,1447
Mississippi,2015,1508
Mississippi,2016,1525
Mississippi,2017,1537
Mississippi,2018,1578
Mississippi,2019,1622
Mississippi,2020,1674
Mississippi,2021,1766
Mississippi,2022,1907
Missouri,2007,726
Missouri,2008,788
Missouri,2009,881
Missouri,2010,970
Missouri,2011,1022
Missouri,2012,1091
Missouri,2013,1143
Missouri,2014,1199
Missouri,2015,1253
Missouri,2016,1280
Missouri,2017,1285
Missouri,2018,1383
Missouri,2019,1299
Missouri,2020,1301
Missouri,2021,1340
Missouri,2022,1668
Montana,2007,700
Montana,2008,721
Montana,2009,751
Montana,2010,783
Montana,2011,818
Montana,2012,871
Montana,2013,938
Montana,2014,1003
Montana,2015,1081
Montana,2016,1130
Montana,2017,1174
Montana,2018,1237
Montana,2019,1287
Montana,2020,1347
Montana,2021,1471
Montana,2022,1639
Nebraska,2007,807
Nebraska,2008,814
Nebraska,2009,849
Nebraska,2010,901
Nebraska,2011,958
Nebraska,2012,1040
Nebraska,2013,1151
Nebraska,2014,1226
Nebraska,2015,1360
Nebraska,2016,1402
Nebraska,2017,1481
Nebraska,2018,1569
Nebraska,2019,1564
Nebraska,2020,1586
Nebraska,2021,1684
Nebraska,2022,1869
Nevada,2007,695
Nevada,2008,692
Nevada,2009,703
Nevada,2010,696
Nevada,2011,689
Nevada,2012,674
Nevada,2013,687
Nevada,2014,704
Nevada,2015,737
Nevada,2016,742
Nevada,2017,755
Nevada,2018,776
Nevada,2019,791
Nevada,2020,824
Nevada,2021,863
Nevada,2022,948
New Hampshire,2007,699
New Hampshire,2008,647
New Hampshire,2009,757
New Hampshire,2010,791
New Hampshire,2011,811
New Hampshire,2012,848
New Hampshire,2013,885
New Hampshire,2014,905
New Hampshire,2015,941
New Hampshire,2016,965
New Hampshire,2017,972
New Hampshire,2018,984
New Hampshire,2019,1021
New Hampshire,2020,1048
New Hampshire,2021,1090
New Hampshire,2022,1188
New Jersey,2007,776
New Jersey,2008,691
New Jersey,2009,848
New Jersey,2010,867
New Jersey,2011,915
New Jersey,2012,981
New Jersey,2013,1058
New Jersey,2014,1092
New Jersey,2015,1149
New Jersey,2016,1174
New Jersey,2017,1192
New Jersey,2018,1209
New Jersey,2019,1237
New Jersey,2020,1277
New Jersey,2021,1309
New Jersey,2022,1417
New Mexico,2007,667
